id,type,name,country
c6bc2e47-5e18-4a03-b3d7-da878d0feb82,Limited Liability Partnership,Nordstrom,Belarus
71a53dad-7d67-420a-8237-db28151168fc,Limited Liability Partnership,BearingPoint,Costa Rica
5a5709bc-22eb-4e96-8ae1-b424170d0af2,Limited Liability Company,Mattel,Eritrea
35432267-87f5-44b8-9702-dac9d34f2102,Limited Liability Limited Partnership,Eastman Kodak,Sudan
62580597-8d8f-4680-a160-ce809631ffc4,Corporation,Bucyrus International,Singapore
6bc41fac-1478-4a5a-b27d-8c06f5cab348,Professional Limited Liability Company,Magik Gray,American Samoa
c3bc49c2-cd76-40d7-9585-f40540382884,Corporation,Crazy Eddie,Cayman Islands
ccabfe83-6793-4ce5-985a-5f8eaa5af2d6,Limited Liability Limited Partnership,Omni Tech,Sint Maarten
56232c55-67db-45f5-9098-d3e11cfdfbee,Limited Liability Limited Partnership,Solution Answers,Ethiopia
ca8edfd8-908f-4ca1-8375-486d9409e075,Professional corporation,Limited Brands,Qatar
3371ec59-db8b-44d7-b5a5-2ede8b1a4a2c,Professional Limited Liability Company,Red Bears Tavern,Sri Lanka
b5cf3210-52fa-4821-9966-0770ab4958be,Limited Liability Partnership,Polaroid Corporation,British Virgin Islands
752822c8-17df-457b-b47c-0f1ed488f26c,Corporation,CBS Corporation,Mauritania
1f3964ea-d510-41f7-971a-3db06e3d30c4,Professional corporation,McConn & Company,Belize
d25a04e3-8ad2-45a1-bcf5-af065a24f0e5,Limited Liability Company,Brunswick Corporation,Barbados
0bac5142-63d5-4524-a6d4-1c85fc46964c,Incorporated,NetApp,Chile
6dbd5d92-9854-41bf-935b-024d68aebc9a,Professional corporation,Ball Corp.,Senegal
8ca2d1c4-b216-473d-8201-6f6b4681e779,Limited Liability Company,First Choice Yard Help,Philippines
0e6a8cab-4b12-4088-8aac-6a3891cd2965,Limited Liability Company,Pro Property Maintenance,Myanmar
48d94943-9cb0-4b30-b8d9-037c2b09f70d,Limited Liability Limited Partnership,Entergy,Madagascar
97befbc7-4238-4799-a96b-4d9793d5ed03,Limited Partnership,Strategy Planner,Georgia
9f5f5c39-c4e5-46c6-977f-5c443a407a5f,Corporation,Arctic Cat,Slovakia
be447738-2566-4111-b2db-fcb5333a70a7,Professional Limited Liability Company,The Independent Planners,Czech Republic
b1a1209f-36ba-40b9-8c15-7c96295b7088,Limited Liability Partnership,MagnaSolution,Liechtenstein
1e7260ce-de9d-41e0-af2b-9c6d5a81b509,Professional corporation,First Choice Garden Maintenance,Mozambique
888a2db2-b33d-4ba9-9b27-af787336c01b,Professional corporation,Monk Real Estate Service,Tokelau
33782731-dd5a-4b27-ae61-ffe2293a974c,Limited Liability Limited Partnership,Gold Leaf Garden Management,Oman
fdd751b0-f663-4edd-a953-b48bf8efa2a6,Limited Liability Limited Partnership,Maxiserve,Andorra
e6b5633e-dcb4-4541-8869-9a020ee6ca83,Professional Limited Liability Company,Pluto Marine,Côte d’Ivoire
a601f10f-604b-4464-bc4e-2fbc9407d130,Professional Limited Liability Company,Salary.com,British Virgin Islands
aa39c83b-8f49-4613-b79a-90a68243ce75,Professional Limited Liability Company,Monmax,Angola
5fe472b6-6c9b-49e1-bc5e-7240483d412a,Limited Liability Limited Partnership,Life Map Planners,Zimbabwe
efaa183a-8792-4c60-8eb3-719dedda6dbb,Professional Limited Liability Company,Ideal Industries,Senegal
5547bfab-3a39-4167-8f5e-d5333646c236,Limited Liability Partnership,Mauna Loa Macadamia Nut Corp.,Western Sahara
1754ca56-db0f-45e9-a87d-4bac19ecce2b,Professional corporation,American Axle,Slovenia
b930c474-df08-4e1a-be48-46c58f9b3765,Incorporated,Galaxy Man,Cameroon
fd5de0a1-5941-482c-af70-39b471156f9e,Professional corporation,Stratapro,Seychelles
4fdda86b-7d52-42f8-92ec-96432bfd001d,Corporation,Advanced Processing & Imaging,Sudan
456442a6-65cb-448e-9ed4-0dc6aef65698,Limited Liability Partnership,Ejecta,Montenegro
90e23337-51d1-4b88-b7e1-f477d15622ac,Professional corporation,Southwest Airlines,Montenegro
21c8b428-ead4-4228-b0ac-e191bb255f7b,Limited Partnership,Avaya,Falkland Islands
99c606c2-096c-4383-ad6a-8de4441fbfbe,Limited Partnership,Sistemos,Mauritania
a23b54f2-d9da-4abb-a0c6-81bb156a55ef,Professional Limited Liability Company,Omnicare,Indonesia
84e52c32-1a99-4eea-911c-8a91e31ccc87,Incorporated,Enrich Garden Services,Morocco
6ed34f4f-b63e-4d9a-8852-20cbd4d7fa4e,Limited Liability Partnership,VIZ Media,Botswana
f96a4394-e735-41d7-9c24-510cf85cea76,Limited Liability Limited Partnership,Klipsch Audio Technologies,Laos
4cf63514-dc92-48ce-a345-965aa83831c3,Incorporated,Matrix Architectural Service,Kosovo
24774521-5259-435e-bf08-e3e5c2f07cde,Limited Liability Limited Partnership,WWE,Curaçao
934cc8c7-8591-4dd5-ae10-9c94084fa62f,Professional corporation,Seksi Lady,Mali
ccbdf07b-4fb9-4dba-af71-17d01a6b67ea,Professional Limited Liability Company,Vectren,Lithuania
d8e0e6c7-a9aa-462c-90d2-34dfb8bb125a,Professional Limited Liability Company,Modern Architecture Design,United Arab Emirates
96cbfb7c-0b75-44e3-9fbf-709c43567519,Professional corporation,Earthworks Garden Kare,Ukraine
443fae71-6300-4807-b96e-56f02d86036b,Limited Partnership,Stratagee,St. Lucia
74def25e-859c-4f26-b4d7-f660f783b58a,Professional Limited Liability Company,Principal Financial Group,St. Martin
6896eea6-07cd-400f-a109-224411af5e0c,Incorporated,Bold Ideas,Tonga
958a1c55-a6d5-485d-b385-8f3301575715,Professional corporation,American Eagle Outfitters,Fiji
02aa554b-2010-4086-8d9f-bc6ed0461dc6,Professional corporation,W.C. Bradley Co.,Brunei
cce29f47-aec5-477a-a873-f64fb69ce87e,Limited Partnership,Matrix Design,Lesotho
6de71df4-080c-49d0-83f3-23027722bead,Corporation,Sony Pictures Entertainment,Iran
ae825811-87d1-4df4-89b9-ef3a0a9c2630,Limited Partnership,Martin Marietta Materials,São Tomé & Príncipe
c9ba675d-d735-4cbf-aa12-594c986b74d8,Limited Liability Partnership,Vocera Communications,Kenya
c5ad0d28-c8c7-4212-9430-07980a9db03d,Incorporated,Multi-Systems Merchant Services,Turkmenistan
306115ef-186e-4d2e-a0cd-5ec05d99949b,Corporation,NBC Universal,Oman
3b928652-92c2-42e4-956b-d43231dba2e9,Limited Partnership,Bath & Body Works,Sierra Leone
50e60765-ddf2-454c-9a47-291773c310b7,Professional corporation,Hi-Point Firearms,Latvia
36fccf14-6625-40f9-b3e0-b903cf771bee,Limited Liability Limited Partnership,Cerner Corporation,South Africa
99051418-462f-416a-8943-3090d44341c7,Corporation,Reliable Guidance,India
54fc20de-6009-4ab1-aad1-d9a4f9281329,Limited Partnership,Cisco Systems  Inc.,Namibia
c2139271-c703-41be-8ac2-f7a2cd23f53a,Corporation,Science Applications International Corporation (SAIC),Russia
4c94b266-5ba1-4cf7-8f86-4b140a096769,Incorporated,Price Waterhouse Coopers,St. Lucia
2fbae476-1486-4be3-af1d-d133b3a8968e,Limited Liability Partnership,The Vanguard Group,Bolivia
e94a03f8-995a-4ae7-910e-68c1a869585a,Limited Liability Partnership,The Jolly Farmer,Poland
e84fb1b3-3b38-4bce-a1b1-fc00b7c492a0,Professional Limited Liability Company,Rockford Fosgate,Guyana
c28b7496-cee0-48a8-9ff0-6693b6199df8,Incorporated,Chrysler,Azerbaijan
4f1ac783-70cd-46b1-9bad-7df75302350a,Limited Liability Company,Dollar General,Afghanistan
f0223de2-d8a3-482c-84e1-7d06e76ece6e,Professional corporation,Halliburton,Liechtenstein
3c7a8981-3c22-4fc7-bef5-7e26ac609c54,Limited Liability Company,Fruit of the Loom,Congo - Brazzaville
