id,source,target,date,time,amount,currency
8bf13a0e-7d82-4c92-abe8-cdc2d7c7558f,525d7f4c-cbfb-4abd-ad35-ad7a01eaf254,51ff4ffd-f5f6-4f87-acf8-b9ecacd46fd4,12/24/2015,06:10:18,68062.5740052,None
9db5fa84-278c-48bd-9d3e-5451b095af9e,68597bd8-ee6d-4860-ab1c-34538282dafe,130bc7cd-0809-4884-866f-1dfb64d7df4d,05/28/2017,01:01:31,69804.3849843,None
b2dccd76-c3d0-4297-ada8-51d9025eda8a,9bc55083-c8a5-49cb-a4d0-009b534b90b9,7e4b8534-2776-424c-abfd-1b6384ed027f,08/08/2016,12:08:38,62012.8457913,None
95bfc090-7b75-4d57-b8cc-82344a460aaf,05cfd878-16c3-4166-ad77-12daec826d6d,2b401d43-f814-427e-967c-a899eb8d7a91,12/29/2015,21:58:56,87960.5271495,None
3eaea71b-2ff4-44db-8463-ac271f4fcb40,36aed0c4-b934-497a-8b05-d4c66f091b34,5b346003-d64a-4dc9-817f-23159b987ef2,01/26/2016,15:27:25,62372.2843462,None
9cf7ecdd-5a37-46da-a743-95a1b8323b3a,5fef2332-35e9-4c66-ad3c-e705373d0860,9db06430-4529-4522-9ee7-2369e8a330e5,04/21/2017,09:00:22,58042.6872659,None
5ae65f89-d985-4b1a-adc5-a13620c3a76f,a0915105-5dfa-42d8-9e3c-4b2c0b5d3dd7,ebcda195-300c-4761-90e4-fd640752a60b,24/02/2015,16:27:48,55431.2722832,None
aaca6ba9-dffb-4e22-bb07-e1c5527416b9,28c1f2b5-76ce-4b26-8d5b-a5f41258595e,a740638b-9a6f-468b-b563-3c73a1d00673,27/22/2017,01:11:02,64608.5110675,None
5a40b11d-2def-4058-9f41-cb1778507728,32468d7a-8594-4aba-bf15-db8a4e6dbd22,4dcb3870-e803-4816-b49a-2673103497f4,08/09/2015,19:56:33,57819.9787958,None
28ee9e86-0f7a-4548-8b04-11a27d69eeb0,91c2c09f-1952-433f-9de7-0db46ecac35d,f503f648-d441-4ce8-b910-f017a9ce28ec,07/17/2015,14:48:41,66010.3679559,None
0c44b905-67cb-4e75-bd47-8afd03e16cdd,0aa4437f-57b2-476e-a15c-8b4f704b7af2,d91a8490-0d7a-4abe-a09e-defdff9b99b7,09/11/2016,01:24:04,70302.5462164,None
f5ee2efb-2c82-4fcd-9233-60b651390061,b8981fd4-465d-448c-b869-5c96e0360a1d,deb60b6b-3c1c-4763-82e3-a54daf64b88e,24/19/2016,23:17:33,55737.8323557,None
b83b0f6d-2a9e-4ad3-86b0-0d7e97b44c54,c3cea697-d685-49ac-970e-be5a03d271fb,addf2290-9ecf-4ed2-bb31-8ceaac2713d4,10/05/2017,18:38:31,80499.236477,XAF
9d4fc2ed-c492-4640-b08a-c28420a9522e,b857647b-2a25-4dbd-b60d-f9ac4767599f,9fe51c88-c8eb-4c04-a782-5ea7c9b16546,27/27/2017,01:47:12,73724.1568503,HNL
7f1d857f-f9de-485f-be07-8c8e95cee63d,b8796830-7bbd-4144-b6e3-adcd9ba1a7c2,8821bafd-b707-4d5c-9a64-701fc766d2de,25/14/2017,11:15:41,88828.7453747,None
1b633386-f61b-4ab0-aafb-077f9af51454,1e021673-833a-4711-b3ad-6377bd26f3b3,8656599d-0b60-49fb-94fd-1bb4610ebd03,06/10/2016,15:17:25,60233.1244717,None
89e63ad4-8c9c-48ac-9195-0016a688b49c,08fbee5a-b386-4382-a149-7f57922d4963,69b2af4a-39a0-4726-bf5c-13c57b8f546a,24/06/2015,13:37:55,74836.1882671,None
